id,nombre,bodega,varietal,descripcion,precio_unitario,precio_caja,botellas_caja,imagen_url,categoria,activo
50,The Apple,Riccitelli,Malbec,"Uvas provenientes de dos zonas muy diferentes entre sí: una finca de Perdriel, a las orillas del Río Mendoza, con suelos pedregosos y arcillosos, y con presencia de lunares de caliche que combinan con la altura, suelos calcáreos de Gualtallary. Dos mundos que al juntarlos logran buena sacarosidad y frescura a la vez. En nariz presenta frutos rojos, flores y especias. Un vino complejo, rico, con suaves taninos maduros y de final largo. Marca Riccitelli Wines Proyecto Es un proyecto joven y dinámico, en el que Matías quiere expresar todo el potencial de los terroirs argentinos, trabajando con un cuidado constante y estilo personal, elementos esenciales para hacer grandes vinos. Combina la última tecnología, la bondad de nuestros terruños y la impronta de la nueva enología argentina. Con The Apple Doesn't Fall Far From The Tree, Matías quiso expresar una referencia a su padre, el gran Jorge Riccitelli, (nombrado mejor enólogo del mundo en 2012 por la revista Wine Enthusiast) y a su familia, que está totalmente involucrada en el vino. Según Matías: “Como una manzana no cae lejos del árbol un vino no se hace nunca sin una historia. Historia que refleja lo que me enseñaron y la pasión que mi familia me transmitió por el vino. Winemaker: Matías Riccitelli Tipo: Tinto Varietal: Malbec Composición Varietal: Malbec 100% Zona de Origen: 50% de las uvas provienen de Perdriel Luján de Cuyo. 50% proviene de Gualtallary Región: Mendoza Elevación: 950 msnm Método de cosecha: Última semana de marzo a primera semana de abril. Se realiza manualmente, en pequeñas cajas de 20 kg, a fin de mantener la integridad de cada racimo. Vinificación: Selección manual. Los racimos son despalillados llegando de forma natural por gravedad a pequeñas vasijas de concreto. Fermentan sin adición de ningún elemento ajeno y a temperaturas entre 26º y 28ºC durante varias semanas. Crianza: En barricas de roble francés de diferentes usos hasta la siguiente vendimia. Acidez: 6.2 g/l Contenido: 750 ml",22478,128122,6,/imagenes/riccitelli-the-apple-malbec-e1cda3795cd4c1100c17591052452624.jpg,,TRUE
51,Tinto de la Casa 2023,Riccitelli,Blend,"Es la co-fermentación de Malbec provenientes de dos viñedos, 50% de Las Compuertas, sobre suelos franco-arcillosos de 1 metro y un subsuelo rocoso de gran permeabilidad. Y 50% de Gualtallary, con suelos calcáreos, que nos dan Malbec especiados y frescos. Floral y especiado. Complejo, rico y con suaves taninos. Marca Riccitelli Wines Proyecto Es un proyecto joven y dinámico, en el que Matías quiere expresar todo el potencial de los terroirs argentinos, trabajando con un cuidado constante y estilo personal, elementos esenciales para hacer grandes vinos. Combina la última tecnología, la bondad de nuestros terruños y la impronta de la nueva enología argentina. La linea """"vino de la casa"""" representa nuestro lugar, lo que nos gusta beber y compartir. Habla de lo que somos y refleja nuestra filosofía para hacer vinos. Winemaker Matías Riccitelli Tipo Tinto Varietal Malbec Composición Varietal Malbec 100% Zona de Origen 50% de las uvas provienen de Las Compuertas Luján de Cuyo. El otro 50% proviene de Gualtallary Valle de Uco. Región Mendoza Elevación 1.100 msnm - 1-400 msnm Método de cosecha Primera semana de marzo. Se realiza manualmente, en pequeñas cajas de 20 kg, a fin de mantener la integridad de cada racimo. Vinificación Selección manual. Co-fermentación con 50% de racimos enteros en pequeñas cubas de roble francés con levaduras indígenas a temperaturas entre 26º y 28º C. Crianza En cubas de roble francés hasta la siguiente vendimia. Acidez 6.2",31064,177062,6,/imagenes/tinto-de-la-casa-6ef42894661b3bfb9b17612543299484.jpg,,TRUE
52,Viejos Viñedos de Pie Franco 2023,Riccitelli,Sangiovese,"Sangiovese proveniente de antiguos viñedos plantados en 1930, en pie franco, sobre suelos de arcilla y piedra calcárea. Viñedos con manejo agroecológico, ubicados en las zonas tradicionales de la Mendoza Vitivinicola. Equilibrado con frescura, acidez y notas frutales. Su vinificación y crianza de le otorgan una estructura elegante. Predominan en frutas rojas como cereza, frambuesa y fresas, complementados con matices terrosos y minerales. En boca, ofrece una acidez refrescante, taninos finos y una textura sedada, con un potencial de guarda de 30 años. Marca: Riccitelli Wines Proyecto: Es un proyecto joven y dinámico, en el que Matías quiere expresar todo el potencial de los terroirs argentinos, trabajando con un cuidado constante y estilo personal, elementos esenciales para hacer grandes vinos. Combina la última tecnología, la bondad de nuestros terruños y la impronta de la nueva enología argentina. La linea ""Vineyard Selection"" son vinos de antiguos viñedos ubicados en zonas tradicionales de Mendoza Winemaker: Matías Riccitelli Tipo: Tinto Varietal: 100% Sangiovese Cosecha: Primera semana de marzo Zona de Origen: Las Compuertas Región: Luján de Cuyo Método de cosecha: Vendimia manual en cajas pequeñas de 20kg Vinificación: Vinificado con 25% de racimo entero y el resto se despalilla. La uva llega de forma natural por gravedad a pequeñas piletas de concreto, donde se realiza la fermentación con levaduras autóctonas entre 24° y 26°C. Con un trabajo muy suave se hunde el sombrero para lograr una extracción lenta Crianza: Crianza continua en foudres de roble francés durante 16 meses Acidez: 6,2 g/l Contenido: 750 ml",52569,299643,6,/imagenes/riccitelli-viejos-vinedos.jpg,,TRUE
53,Viñas Extremas San Pablo 2022,Riccitelli,Malbec,"Uvas cosechadas en la extrema zona de San Pablo, sobre suelo franco-arenoso y grava calcárea. En un viñedo en el que no se usan herbicidas ni productos sistémicos llevando un manejo agroecológico de los mismos. Reflejando fielmente el terroir de San Pablo, este Malbec ofrece un carácter distintivo, potente y complejo. Marca: Riccitelli Wines Proyecto: Es un proyecto joven y dinámico, en el que Matías quiere expresar todo el potencial de los terroirs argentinos, trabajando con un cuidado constante y estilo personal, elementos esenciales para hacer grandes vinos. Combina la última tecnología, la bondad de nuestros terruños y la impronta de la nueva enología argentina. La línea de ""Viñas Extremas"" expresa la personalidad de la fincas de donde provienen, las condiciones únicas de suelo y clima hacen que cada varietal muestre el gran potencial del terroir. Winemaker: Matías Riccitelli Tipo: Tinto Varietal: Malbec Composición Varietal: 100% Malbec Zona de Origen: IG San Pablo Región: Valle de Uco Elevación: 1.500 msnm Método de cosecha: Tercera semana de marzo. Se realiza manualmente en pequeñas cajas de 20kg a fin de mantener la integridad de cada racimo. Vinificación: Se realiza una meticulosa selección a mano previa a la vinificación. Se vinifica 30% de racimo entero y el resto es despalillado. Fermenta en vasijas de concreto con levaduras indijenas. Se realiza un trabajo suave para hundir el sombrero y lograr una extracción lenta. Crianza: La crianza se realiza en foudres de roble francés de durante 16 meses. Acidez: 3,4 g/l Contenido: 750 ml",81000,461700,6,/imagenes/vinas-estremas-riccitelli-eac4f87268d085d23f17591057316855.jpg,,TRUE
54,Casa de las Musas 2020,Solo Contigo,Blend,"Las musas del vino y el arte nos inspiran a desarrollar habilidades artísticas y crear verdaderas obras de arte con nuestros vinos. Vinos seductores inspirados en las denominaciones más famosas del mundo; ensamblajes genuinos que combinan lo mejor de cada uva con nuestra creatividad, sello enológico e identidad vitivinícola. A la vista se presenta de color rojo intenso y brillante, en nariz se destacan aromas a frutos negros, flores y hierbas que van acompañadas de suaves y equilibradas notas de crianza como vainilla y un dejo especiado. Luego de su paso por la boca podemos destacar la redondez de sus taninos que hacen amable su paso a un largo y expresivo final. Marca Solo Contigo Wines Proyecto La historia de Solo Contigo comienza en el año 2008, cuando Terry y Noel, 2 canadienses que llevan más de 40 años juntos, emprendieron su viaje a Argentina, enamorándose inmediatamente de las tierras del Valle de Uco. Al año siguiente decidieron la adquisición de una propiedad en Los Chacayes, y luego se embarcaron en el proyecto de su Bodega propia. Solo Contigo fue pensada desde sus comienzos como una Casa Bodega abierta al público para realizar visitas, degustaciones de vino y sentirse como en casa. Con una arquitectura exquisita, una excelente selección musical en todos sus espacios, y su colección de obras de arte contemporáneo. Winemaker Maricel Valdéz Tipo Tinto Varietal Blend Composición Varietal 40% cabernet sauvignon; 30% merlot; 20% cabernet franc; 10% malbec Zona de Origen Los Chacayes Región Valle de Uco Elevación 1.200 msnm Método de cosecha Manual en cajas de 16 kg Vinificación Maceración prefermentativa con pieles de 48 horas a bajas temperaturas en tanques de acero inoxidable, donde luego realizan por separado sus fermentaciones con levaduras índigenas a temperatura controlada. Crianza En barricas de roble francés nuevas durante 12 meses. Luego 3 meses en tanque de acero inoxidable.",31509,179601,6,/imagenes/casa_de_las_musas-blend_bf48074f-efa1-4d01-a9e2-8f4f0ee78709_2048x2048_crop_center2x-jpg-5307b241f0bc2319e117612542467848.jpg,,TRUE
55,Neelands los Chacayes 2021,Solo Contigo,Blend,"UBICACIÓN DEL VIÑEDO: Los Chacayes, Valle de Uco, Mendoza ALTITUD DEL VIÑEDO: 1.200 m.s.n.m. COMPOSICIÓN: 80% Malbec- 20% Cab Franc. SUELOS: Rocosos, con presencia de arcilla y limo COSECHA: Manual en cajas de 16 kg. RENDIMIENTO: 7.500 kg/ha. VINIFICACIÓN: Fermentado en barricas de roble francés de varios usos durante 25 días, 10% de racimo entero, hundmiento manual de sombrero homogeinizando de 4 a 6 veces diarias la masa con el mosto en fermentación. CRIANZA: En barrica de roble francés durante 18 meses, luego se fracciona desde barricas sin filtrado previo. ALCOHOL: 13,80% v/v AZÚCAR RESIDUAL: 1,8 gr/lt. NOTAS DE CATA: Color violeta intenso, aromas donde predominan notas a hierbas silvestres, frutas rojas ácidas, especias y un dejo floral que se acomplejan con las notas de crianza como ahumados y vainilla. En boca encontramos un vino equilibrado, con diferentes capas de sensaciones al paladar, destacando un centro de boca persistente y texturado por sus refinados taninos que abren paso a un prolongado final que invita, sin cansar, a beber otra copa.",45360,258552,6,/imagenes/neelands-blend-2049cb20a2a52c382a17612541499412.jpg,,TRUE
56,Nicola Catena,Catena Zapata,Bonarda,"Varietal: 100% Bonarda Fermentación: Levaduras nativas. Maceración fría en barricas durante 4 días. debajo de 10º. Temp. Ferm. entre 25 y 30º C durante 15 días. Añejamiento: 18 meses en barricas de roble francés. Viñedos: La Vendimia, El Mirador, Mendoza, 750 msnm. Alcohol: 13,5% Vol. pH: 3.71 Acidez: 5.8 NOTAS DE DEGUSTACIÓN Este vino proviene de una pequeña parcela en un viñedo de más de 80 años de antigüedad cuyos rendimientos en kilos de uva por planta son sumamente bajos, lográndose por ello una concentración y complejidad excepcionales. Aromas intensos de regaliz, especias verdes como orégano y tomillo y boca con gran volumen y persistencia.",39083,156330,4,/imagenes/nicolas-11-e6728205713359de8316958388128215-480-0-85ebd91ffd2310becf17577119365728.jpg,,TRUE
57,Aruma,Caro,Malbec,,20048,120285,6,,,TRUE
58,Petit Caro,Caro,Blend,,33413,200475,6,/imagenes/diseno-sin-titulo-20-8347316c1b26cb0b0717692774443824.jpg,,TRUE
59,Caro,Caro,Blend,,135135,810810,6,,,TRUE
60,Luca Beso De Dante,Luca,Blend,,44439,266632,6,,,TRUE
61,Luca,Luca,Chardonnay,,26322,157930,6,,,TRUE
62,Nico By Luca,Luca,Malbec,,89843,269528,3,/imagenes/catena_zapata_nicolas_750-b3b641a47326d3be2d17614177987899.jpg,,TRUE
63,Luca,Luca,Malbec,,30925,185551,6,,,TRUE
64,Luca,Luca,Pinot Noir,,26322,157930,6,,,TRUE
65,Luca,Luca,Syrah,,26322,157930,6,,,TRUE
66,Araucana Azul,Ribera del Cuarzo,Blend,,96525,579150,6,,,TRUE
67,Araucana,Ribera del Cuarzo,Malbec,,40095,240570,6,,,TRUE
68,Ribera del Cuarzo Clasico,Ribera del Cuarzo,Malbec,,32299,193793,6,,,TRUE
69,Ribera del Cuarzo Clasico,Ribera del Cuarzo,Merlot,,32299,193793,6,,,TRUE
70,Araucana Rio de los Ciervos,Ribera del Cuarzo,Malbec,,27101,162608,6,,,TRUE
71,Parcela Histoire D'A,Domaine Nico,Pinot Noir,"Winemaker: Laura Catena Tipo: Tinto Varietal: 100% Pinot Noir Región: Gualtallary Elevación: 1350 msnm Método de cosecha: Año de plantación:1998. Clon Dijon:115 Vinificación: Fermentado en roll-fermentor de 600 litros. Máxima temperatura de fermentación 26ºC, 10-12 días de maceración. Fermentación maloláctica en barrica. Crianza: 18 meses en barricas François Frères. 20%en barricas de segundo uso y el resto en barricas de tercer uso. Acidez: 5.62 g/l Contenido: 750 ml",57061,342367,6,/imagenes/mundo-reves-les-calcaires_38195f9c-b4bf-4f93-9e74-592bb80893ef_2048x2048_crop_center2x-c3cad6ce626186741317590991589423.jpg,,TRUE
72,Parcela La Savante,Domaine Nico,Pinot Noir,,57061,342367,6,/imagenes/mundo-reves-les-calcaires_38195f9c-b4bf-4f93-9e74-592bb80893ef_2048x2048_crop_center2x-c3cad6ce626186741317590991589423.jpg,,TRUE
73,Parcela Grand Pere,Domaine Nico,Pinot Noir,,32856,197134,6,/imagenes/mundo-reves-les-calcaires_38195f9c-b4bf-4f93-9e74-592bb80893ef_2048x2048_crop_center2x-c3cad6ce626186741317590991589423.jpg,,TRUE
74,Parcela Grand Mere,Domaine Nico,Pinot Noir,,32856,197134,6,/imagenes/mundo-reves-les-calcaires_38195f9c-b4bf-4f93-9e74-592bb80893ef_2048x2048_crop_center2x-c3cad6ce626186741317590991589423.jpg,,TRUE
75,Aguijon de Abeja Obrera,Durigutti,Chardonnay-Semillon,"FICHA TÉCNICA Amarillo verdoso con notas doradas. En nariz, se perciben frutas tropicales, frutas blancas y hierba fresca. En boca es franco, fresco e intenso con una nota muy sutil a vainilla. Es un vino de muy buena estructura y persistencia. PRODUCTOR Durigutti Family Winemakers TIPO Blanco VARIEDAD Blend VOLUMEN 750 ml CORTE 70% Chardonnay | 30% Semillón LUGAR DE ELABORACIÓN Alto Valle de Río Negro, Argentina. CRIANZA / BARRICADO Añejamiento en piletas, pasaje por roble francés de primer uso durante 4 meses. ELABORACIÓN Maceración en frío durante 24 horas a 7ºC. Fermentación alcohólica cdurante 25 días a temperaturas entre 12º y 14º con levaduras nativas en todo el proceso de vinificación. ENÓLOGO Pablo Durigutti - Hector Durigutti PAÍS Argentina",11925,67973,6,/imagenes/aguijon-abeja-reina-blanco-1a91887f7452374d9e17612530757233.jpg,,TRUE
76,Aguijon de Abeja Obrera,Durigutti,Bonarda,"FICHA TÉCNICA En la nariz es intenso y se encuentran aromas a frutos del bosque maduros (moras, cassis y cerezas) con atrayentes toques especiados. En boca su ataque tánico es agradable y de buena intensidad. Una de las características más importantes se ve expresada en la suavidad de los taninos bien maduros amalgamados con la fruta. Vinos PRODUCTOR Durigutti Family Winemakers TIPO Tinto VARIEDAD Bonarda VOLUMEN 750 ml CORTE 100% Bonarda LUGAR DE ELABORACIÓN Fiambalá. Provincia de Catamarca, Argentina. CRIANZA / BARRICADO Crianza durante 6 meses en roble francés. ELABORACIÓN Maceración en frío durante 8 días a 6ºC. Fermentación alcohólica con levaduras indígenas, con 4 remontajes diarios durante 20 días a 25ºC - 27ºC. Fermentación maloláctica en roble francés de segundo y tercer uso. ENÓLOGO Pablo Durigutti - Hector Durigutti PAÍS Argentina",11925,67973,6,/imagenes/abeja-obrera-bonarda-2ad79ae94168bb6af417612535616689.jpg,,TRUE
77,Aguijon de Abeja Obrera,Durigutti,Cabernet Franc,"FICHA TÉCNICA Vino de color rojo rubí brillante. En nariz es suave y delicado, presenta aroma herbáceo con notas a frutas rojas maduras como la frambuesa a mermelada, con aromas a tabaco, chocolate, clavo de olor. Con una boca de tanino jugoso y de fina textura. PRODUCTOR Durigutti Family Winemakers TIPO Tinto VARIEDAD Cabernet Franc VOLUMEN 750 ml CORTE 100% Cabernet Franc LUGAR DE ELABORACIÓN Pedernal, San Juan, Argentina. CRIANZA / BARRICADO Crianza durante 8 meses en roble. ELABORACIÓN 1- Maceración pelicular por 6 días a 5ºC. 2- Fermentación alcohólica por 20 días a temperaturas entre 25ºC y 28ºC con levaduras indígenas. 3- Fermentación maloláctica en roble francés. ENÓLOGO Pablo Durigutti - Hector Durigutti PAÍS Argentina",11925,67973,6,/imagenes/diseno-sin-titulo-20-8347316c1b26cb0b0717692774443824.jpg,,TRUE
78,Aguijon de Abeja Obrera,Durigutti,Cabernet Sauvignon,"FICHA TÉCNICA El Cabernet Sauvignon a la vista se observa como un vino intenso. De colores muy intensos rojo oscuro, rubí, con notas violáceas. Entre los aromas se destaca la esencia de grosella, cerezas y ciruelas, con aromas a tabaco o chocolate. Con notas típico de pimiento verde en boca presenta sabores a pino, cedro, grafito, con taninos jugosos, finos y una acidez bien marcada. PRODUCTOR Durigutti Family Winemakers TIPO Tinto VARIEDAD Cabernet Sauvignon VOLUMEN 750 ml CORTE 100% Cabernet Sauvignon LUGAR DE ELABORACIÓN Provincia de Salta, Argentina. CRIANZA / BARRICADO Crianza durante 7 meses en roble francés. ELABORACIÓN Maceración en frío durante 4 días a 6ºC. Fermentación alcohólica con levaduras indígenas, con 3 remontajes diarios. Fermentación maloláctica en roble frances. ENÓLOGO Pablo Durigutti - Hector Durigutti PAÍS Argentina",11925,67973,6,/imagenes/diseno-sin-titulo-2024-04-18t121514-814-56c2c5ff45912ea65217134533453170-1024-1024-1-9a79fcb7db712f2bcf17569504519587.jpg,,TRUE
79,Aguijon de Abeja Obrera,Durigutti,Malbec,"FICHA TÉCNICA Vino concentrado, con buena estructura. Rojo rubí. Se perciben aromas a especias tales como pimienta negra y aguaribay combinado con frutas maduras y notas de mora. En boca, aterciopelado y con persistentes taninos perfectamente armonizados con un toque de acidez. PRODUCTOR Durigutti Family Winemakers TIPO Tinto VARIEDAD Malbec VOLUMEN 750 ml CORTE 100% Malbec LUGAR DE ELABORACIÓN Alto Valle de Río Negro, Argentina. CRIANZA / BARRICADO Crianza durante 8 meses en roble. ELABORACIÓN Maceración en frío durante 8 días a 8ºC. Fermentación alcohólica con levaduras indígenas, con 4 remontajes diarios durante 25 días a 25º - 27ºC. Fermentación maloláctica en roble americano. ENÓLOGO Pablo Durigutti - Hector Durigutti PAÍS Argentina",11925,67973,6,/imagenes/diseno-sin-titulo-2024-04-18t121514-814-56c2c5ff45912ea65217134533453170-1024-1024-1-9a79fcb7db712f2bcf17569504519587.jpg,,TRUE
80,Aguijon de Abeja Reina,Durigutti,Cabernet Franc,"FICHA TÉCNICA Tinto de buen volumen, fresco en su carácter frutal, con notas mentoladas. Complejidad y madurez en nariz. En boca es un vino profundo y muy elegante, con notas o frutas negras maduradas y especiadas. Final persistente. Vinos PRODUCTOR Durigutti Family Winemakers TIPO Tinto VARIEDAD Cabernet Franc VOLUMEN 750 ml CORTE 100% Cabernet Franc ALCOHOL 14,00% LUGAR DE ELABORACIÓN Pedernal, San Juan - Mendoza. ALTURA (S.N.M.) 1400 CRIANZA / BARRICADO 14 meses en roble francés de 2do y 3er uso. DENSIDAD 5000 ELABORACIÓN Este vino no ha sido sometido a ningún tratamiento químico o físico. La estabilización es natural para preservar todas las características naturales de la uva. No ha sido filtrado por lo que puede contener algunos sedimentos. Se recomienda decantar antes de servir. ENÓLOGO Pablo Durigutti - Hector Durigutti PAÍS Argentina",18000,102600,6,/imagenes/mundo-reves-les-calcaires_38195f9c-b4bf-4f93-9e74-592bb80893ef_2048x2048_crop_center2x-c3cad6ce626186741317590991589423.jpg,,TRUE
81,Aguijon de Abeja Reina,Durigutti,Malbec,"FICHA TÉCNICA Vino concentrado, con buena estructura. Rojo azulado con destellos rubí. Se percibe en nariz aromas a frutos rojos de la patagonia, como Cassis, guinda, arándanos, tabaco , chocolate blanco. En boca, es aterciopelado y con taninos persistentes armonizados con un toque de acidez. PRODUCTOR Durigutti Family Winemakers TIPO Tinto VARIEDAD Malbec VOLUMEN 750 ml CORTE 100% Malbec LUGAR DE ELABORACIÓN Neuquén, Argentina. CRIANZA / BARRICADO Añejamiento en barricas de roble primer uso durante 12 meses. Guarda de 1 año en botella antes de salir al mercado. ELABORACIÓN 1- Maceración pelicular por 4 días a 5ºC. 2- Fermentación alcohólica por 20 días a temperaturas entre 28ºC y 31ºC con levaduras indígenas. ENÓLOGO Pablo Durigutti - Hector Durigutti PAÍS Argentina",18000,102600,6,/imagenes/diseno-sin-titulo-18-487b8ccdf2bab6047e17692771977772.jpg,,TRUE
82,Aguijon de Abeja Reina Fusion de Blancas,Durigutti,Semillon - Chardonay - Torrontes,"Enólogos Héctor y Pablo Durigutti. Variedad de uva: Semillón 67%, Chardonay 28%, Torrontés 5 %. Procedencia de la Uva: Valle de Famatina, La Rioja (Torrontés); Alto Valle de Río Negro, Río Negro (Semillón y Chardonnay). Argentina. Altitutd 250 m.s.n.m. Valle de Famatina: Espaldero tradicional, 3500 plantas por Ha, rendimiento 1 kg por planta. Manejo orgánico, suelos profundos, franco arenosos. Altitutd 1000 m.s.n.m. Año de plantación 1930. Elaboración: Maceración: Chardonnay 40% con piel y Torrontés 10% con piel ambos por 24 horas a 7° C. Semillón 70% con piel por 24 horas a 6° C. Prensado 24 horas luego de la maceración con presiones inferiores a 750 bar. Fermentación alcohólica por 22 días, Chardonnay y Semillón a 14° C y Torrontés a 15° C para preservar aromas; se trabaja con levaduras indígenas en depósito de concreto. Crianza sobre lías por 5 meses. ALC.: 13,3 % / Acidez total: 6,48 / PH: 3,2 / Azúcar residual: -1,8. Notas del Enólogo: El resultado de este vino es un blanco inusual, con aromas complejos y sutiles de pera, miel y flor de azahar del naranjo. Continúa un paladar moderadamente graso con una frescura refinada y pegajosa.",18000,102600,6,/imagenes/aguijon-abeja-reina-blanco-1a91887f7452374d9e17612530757233.jpg,,TRUE
83,Cara Sucia,Durigutti,Criolla,"FICHA TÉCNICA Tinto rojizo ligero con aromas de frutos rojos frescos y golosinas, en paladar es tenso, envolvente y algo goloso. Muy versátil, moderno y fácil de beber. Vinos PRODUCTOR Durigutti Family Winemakers TIPO Tinto VARIEDAD Cereza VOLUMEN 750 ml CORTE 100% Cereza ALCOHOL 13,50% LUGAR DE ELABORACIÓN Santa María de Oro, Rivadavia - Mendoza. ALTURA (S.N.M.) 450 DENSIDAD 3300 TEMPERATURA DE SERVICIO 12°C a 14°C ELABORACIÓN Fermentación alcohólica con levaduras autóctonas durante 18 días a temperatura controladas de 13°C en huevo de cemento, 10 días fermenta con orujo y 8 días restantes sin orujo como si fuera blanco. ENÓLOGO Pablo Durigutti - Hector Durigutti PAÍS Argentina",14400,82080,6,/imagenes/cara-sucia-criolla-3e77ad3a99a0d18aa917612529578208.jpg,,TRUE
84,Proyecto Las Compuertas,Durigutti,Cordisco,"FICHA TÉCNICA Tiene origen en un cuartel experimental de la finca, así nace el primer vino argentino de este varietal originario de Abruzzo (Italia). Este vino fue fermentado en huevos de cemento con levaduras nativas. Vinos PRODUCTOR Durigutti Family Winemakers TIPO Tinto VARIEDAD Cordisco VOLUMEN 750 ml CORTE 100% Cordisco LUGAR DE ELABORACIÓN Las Compuertas, Luján de Cuyo. Mendoza. ENÓLOGO Pablo Durigutti - Hector Durigutti PAÍS Argentina",21675,123548,6,/imagenes/diseno-sin-titulo-2024-04-18t121514-814-56c2c5ff45912ea65217134533453170-1024-1024-1-9a79fcb7db712f2bcf17569504519587.jpg,,TRUE
85,Proyecto Las Compuertas,Durigutti,Criolla,"FICHA TÉCNICA Elegante, fresco y floral, con notas a jazmín y pomelo rosado, de marcada acidez, taninos sedosos y final cítrico y delicado. Vinos PRODUCTOR Durigutti Family Winemakers TIPO Tinto VARIEDAD Criolla VOLUMEN 750 ml CORTE 100% Criolla Chica LUGAR DE ELABORACIÓN Finca Victoria, Las Compuertas, Luján de Cuyo, Mendoza. CRIANZA / BARRICADO 2 meses en huevo de cemento sin epoxi. ELABORACIÓN COSECHA: manual en cajas de 18 kg. MACERACIÓN: en frío durante 4 días a 10° C. FERMENTACIÓN ALCOHÓLICA: se inicia como vino tinto (líquido y grano) a temperaturas entre 15-17° C con levaduras epoxy. A la mitad del proceso se separan las pieles y la fermentación continúa como si se tratase de un vino blanco a temperaturas entre 13-14° C. FERMENTACIÓN MALOLÁCTICA: con bacterias autóctonas a temperatura controlada en los mismos huevos de cemento durante 30 días a 17º C. ENÓLOGO Pablo Durigutti - Hector Durigutti PAÍS Argentina",21675,123548,6,/imagenes/las-compuertas-criolla-30ddc0945f16f3a6b217612525915590.jpg,,TRUE
86,Proyecto Las Compuertas,Durigutti,Bonarda,"FICHA TÉCNICA Vino tinto de tono violáceo brillante con una aromática compleja e intensa de frutas rojas y hierbas frescas secas, romero y especies. De paladar denso y jugoso, aporta fruta negra madura, sabrosa, y ciruelas, con taninos suaves y delicados. Carnoso, de final largo y aterciopelado. PRODUCTOR Durigutti Family Winemakers TIPO Tinto VARIEDAD Bonarda VOLUMEN 750 ml CORTE 100% Charbono (Bonarda) LUGAR DE ELABORACIÓN Finca Victoria - Las Compuertas, Luján de Cuyo, Mendoza. ALTURA (S.N.M.) 1050 CRIANZA / BARRICADO 9 meses en huevos de cemento sin epoxi. TEMPERATURA DE SERVICIO 15° a 18° C ELABORACIÓN Cosecha: manual en cajas de 18 kg. Maceración: en frío durante 5 días a 5° C. Fermentación alcohólica: con levaduras autóctonas en huevos de cemento sin epoxi a temperaturas controladas entre 22-25°C durante 15 días y realizando 3 pisonages diarios. Fermentación maloláctica: con bacterias autóctonas en huevos de cemento durante 30 días. ENÓLOGO Pablo Durigutti - Hector Durigutti PAÍS Argentina",26550,151335,6,/imagenes/proyecto-las-compuertas-bonarda-b90a1fd0996c7966e417612524732523.jpg,,TRUE
87,Proyecto Las Compuertas,Durigutti,Cabernet Franc,"FICHA TÉCNICA Frutal, fluído y delicado. Presenta una gama aromática muy fresca de fruta roja y flores. Gana presencia en la copa con el correr de los minutos. Muy elegante, en boca posee un núcleo de frutas rojas y taninos finos, logrando un vino de gran equilibrio. PRODUCTOR Durigutti Family Winemakers TIPO Tinto VARIEDAD Cabernet Franc VOLUMEN 750 ml CORTE 100% Cabernet Franc LUGAR DE ELABORACIÓN Finca Victoria - Las Compuertas, Luján de Cuyo, Mendoza. ALTURA (S.N.M.) 1050 CRIANZA / BARRICADO 9 meses en huevos de cemento sin epoxi. TEMPERATURA DE SERVICIO 15° a 18° C ELABORACIÓN Cosecha: manual en cajas de 18 kg. Maceración: en frío durante 3 días a 5° C. Fermentación alcohólica: con levaduras autóctonas en huevos de cemento sin epoxi a temperaturas controladas entre 22-25°C durante 18 días y realizando 3 pisonages diarios. Fermentación maloláctica: con bacterias autóctonas en huevos de cemento durante 25 días. ENÓLOGO Pablo Durigutti - Hector Durigutti PAÍS Argentina",33675,191948,6,/imagenes/proyecto-las-compuertas-cf-8f85ab07a05ac656ac17612525057217.jpg,,TRUE
88,Proyecto Las Compuertas Blanco de Finca,Durigutti,Marsane - Semillon,"CEPA: 90% Marsanne, 10% Semillón ORIGEN: Finca Victoria - Las Compuertas, Luján de Cuyo, Mendoza. ALTITUD DEL VIÑEDO: 1050 metros. AÑO DE PLANTACIÓN DEL VIÑEDO: 2019. DENSIDAD DE PLANTACIÓN: 7200 plantas por hectárea. SUELOS: franco arenoso con grava ypiedras en profundidad. RECEPCIÓN EN BODEGA: en huevos de cemento. Las uvas se seleccionan, despalillan y prensan con hielo seco para bajar temperaturas y preservar el jugo de la oxidación. MACERACIÓN: en frío durante 10 horas a 8º C. FERMENTACIÓN ALCOHÓLICA: con levaduras autóctonas en huevos de cemento sin epoxi a temperaturas controladas entre 14-16°C durante 15 días. FERMENTACIÓN MALOLÁCTICA: no se realiza. CRIANZA: en los mismos huevos de cemento sin epoxi durante 12 meses. EMBOTELLAMIENTO: abril de 2024. PRODUCCIÓN: 3500 botellas. ALCOHOL: 12,6% / Acidez total: 4.83 PH: 3.53 /Azúcar residual: 1.66 NOTAS DE CATA: amarillo claro con reflejos verdosos. Aromas florales intensos, fruta como pera, manzana, durazno. Boca de cuerpo medio con textura agradable y complejidad por su conservación sobre lías finas. Los cítricos y el melón se combinan con sutiles especias. Acidez equilibrada que aporta frescura y longitud. Recomendamos consumirlo a una temperatura entre 9º y 11°C. ENÓLOGOS: Pablo y Héctor Durigutti.",39150,223155,6,/imagenes/proyecto-las-compuertas-blanco-de-finca-1-cef8b25c37dea84e6d17612540511435.jpg,,TRUE
